Type	File	Dataset	ClusterError	Errors	Score
2	dblp.rkbexplorer.com---dblp.rkbexplorer.com.nt	dblp.rkbexplorer.com	[http://dblp.rkbexplorer.com/id/people-9cda523ba529ff18b7a8109f8f768186-f8703a98bbdf310ee148229ecf1be2e9, http://dblp.rkbexplorer.com/id/people-9cda523ba529ff18b7a8109f8f768186-c8c025ca4320cef4721f636bc736a99b]	2	1
2	dblp.rkbexplorer.com---dblp.rkbexplorer.com.nt	dblp.rkbexplorer.com	[http://dblp.rkbexplorer.com/id/people-ab32c5bd12c575b3905a9b3e06517f2c-2b69032d3ed8c9d9fe9e615bf89e59b0, http://dblp.rkbexplorer.com/id/people-ab32c5bd12c575b3905a9b3e06517f2c-9026790158d33464ee0adb8d305f1fb5]	2	1
2	dblp.rkbexplorer.com---dblp.rkbexplorer.com.nt	dblp.rkbexplorer.com	[http://dblp.rkbexplorer.com/id/people-aef6b0c1a413f9d2bb03b6283fc43093-73b9ffac70a3849464a9641c3bcb58bd, http://dblp.rkbexplorer.com/id/people-aef6b0c1a413f9d2bb03b6283fc43093-94cf108e0f554d0809f5de357e6f3487]	2	1
2	dblp.rkbexplorer.com---dblp.rkbexplorer.com.nt	dblp.rkbexplorer.com	[http://dblp.rkbexplorer.com/id/people-afdb89ce557435681b2ed9ffd492be77-bf51f0a1ecc3a26e301b1e078f076168, http://dblp.rkbexplorer.com/id/people-afdb89ce557435681b2ed9ffd492be77-f983e4cc08acbc171a6bc0b4967f55b9]	2	1
2	dblp.rkbexplorer.com---dblp.rkbexplorer.com.nt	dblp.rkbexplorer.com	[http://dblp.rkbexplorer.com/id/people-b31ce882393998432667eb73bacb4359-7537bcb66fe6edaad6aa89c5d1b6214a, http://dblp.rkbexplorer.com/id/people-b31ce882393998432667eb73bacb4359-0ad843d463d9501f8ffa1f08ccce5bce]	2	1
2	dblp.rkbexplorer.com---dblp.rkbexplorer.com.nt	dblp.rkbexplorer.com	[http://dblp.rkbexplorer.com/id/people-b44af22b6352c94fd106ccceea702172-9eb3363df9df5c80fda80ffc8a7ce64e, http://dblp.rkbexplorer.com/id/people-b44af22b6352c94fd106ccceea702172-ccba276ed9d0cf3ea12f7cd2923c3bd6]	2	1
2	dblp.rkbexplorer.com---dblp.rkbexplorer.com.nt	dblp.rkbexplorer.com	[http://dblp.rkbexplorer.com/id/people-b9a9227fd9655cf0973adc827a4772c8-d4eea0f9e815bdecf9461a210519a65a, http://dblp.rkbexplorer.com/id/people-b9a9227fd9655cf0973adc827a4772c8-269aaaae62a59f310951da4ea2fc3293]	2	1
2	dblp.rkbexplorer.com---dblp.rkbexplorer.com.nt	dblp.rkbexplorer.com	[http://dblp.rkbexplorer.com/id/people-b9c8dba578d94f496180612c6b6c0741-67f08e5fa32b4e2b3c8127fae83db55c, http://dblp.rkbexplorer.com/id/people-b9c8dba578d94f496180612c6b6c0741-8226c73f365d5755f92c1ef9768a8dce]	2	1
2	dblp.rkbexplorer.com---dblp.rkbexplorer.com.nt	dblp.rkbexplorer.com	[http://dblp.rkbexplorer.com/id/people-c81299fd376183dd48cf3296cbb66341-7e21e990fdfa783ce2a6ab43bb3248ab, http://dblp.rkbexplorer.com/id/people-c81299fd376183dd48cf3296cbb66341-fcabd9d05fe41b3f2113d4dd4ff5b168]	2	1
2	dblp.rkbexplorer.com---dblp.rkbexplorer.com.nt	dblp.rkbexplorer.com	[http://dblp.rkbexplorer.com/id/people-d3dcd607c5db2a1d620449ed20ef3899-d4413caadcde7a581af81e8b56e97959, http://dblp.rkbexplorer.com/id/people-d3dcd607c5db2a1d620449ed20ef3899-d58d93f92e043617aba0789a3c31244a]	2	1
2	dblp.rkbexplorer.com---dblp.rkbexplorer.com.nt	dblp.rkbexplorer.com	[http://dblp.rkbexplorer.com/id/people-daafeb1c5063b2b718a7fdc979063250-6cf77deccbec92e796236ae04b92837e, http://dblp.rkbexplorer.com/id/people-daafeb1c5063b2b718a7fdc979063250-f9ff0ed10f8879fb8cb52920a0f889f2]	2	1
2	dblp.rkbexplorer.com---dblp.rkbexplorer.com.nt	dblp.rkbexplorer.com	[http://dblp.rkbexplorer.com/id/people-dd3a2891f72e48a99076dac835c028b4-e001d39d841f83c5723effb4bf5add7c, http://dblp.rkbexplorer.com/id/people-dd3a2891f72e48a99076dac835c028b4-ca001635f0c3bb57c3b9d1f8f3d82ff6]	2	1
2	dblp.rkbexplorer.com---dblp.rkbexplorer.com.nt	dblp.rkbexplorer.com	[http://dblp.rkbexplorer.com/id/people-e9cd6a18248258aa2c5ca2d7825c03ca-1221aaf5d97bd1f189dc62945ea01b10, http://dblp.rkbexplorer.com/id/people-e9cd6a18248258aa2c5ca2d7825c03ca-b138f8ed5ff96294e5ff86e223893952]	2	1
2	dblp.rkbexplorer.com---dblp.rkbexplorer.com.nt	dblp.rkbexplorer.com	[http://dblp.rkbexplorer.com/id/people-f3142c13be63238a30d6798c26749970-fcc942ea3e5cc327ac5e741ad142c9db, http://dblp.rkbexplorer.com/id/people-f3142c13be63238a30d6798c26749970-3e65cc5d84859983fddb67c141a87f08]	2	1
2	dblp.rkbexplorer.com---dblp.rkbexplorer.com.nt	dblp.rkbexplorer.com	[http://dblp.rkbexplorer.com/id/people-ffe38750d5eea98a20f0ef1ea6221c37-4aed335b3366a371a93230bd42d2bdbb, http://dblp.rkbexplorer.com/id/people-ffe38750d5eea98a20f0ef1ea6221c37-f9ca36c643f84aae0f7fcc4658489e3a]	2	1
2	edtb.euskomedia.org---edtb.euskomedia.org.nt	edtb.euskomedia.org	[http://edtb.euskomedia.org/id/eprint/5738, http://edtb.euskomedia.org/id/eprint/1316]	2	1
2	eprints.rkbexplorer.com---eprints.soton.ac.uk.nt	eprs.soton.ac.uk	[http://eprints.soton.ac.uk/id/eprint/259630, http://eprints.soton.ac.uk/id/eprint/259610]	2	1
2	eprints.soton.ac.uk---eprints.soton.ac.uk.nt	eprs.soton.ac.uk	[http://eprints.soton.ac.uk/id/person/ext-492ddebcf488145cf44d15c0f4af9002, http://eprints.soton.ac.uk/id/person/ext-b783b0665723bb5709f9ab6684af0cf7]	2	1
